COUNTRY;COUNTY;TYPE;UKNIWM_ID;CIVIL_PARISH;NOTE;UKNIWM_WEB;COMMEMORATION;LATITUDE;LONGITUDE;MAP
SCOTLAND;DUNBLANE QUEEN VICTORIA SCHOOL;CIVIC;Not listed;TRUE;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;DUNIPACE WW1;CIVIC;Not listed;TRUE;NONE;NONE;UNKNOWN;56.027292;-3.9153454;https://www.google.com/maps/search/?api=1&query=56.027292,-3.9153454&query_place_id=
SCOTLAND;FALKIRK;CIVIC;Not listed;TRUE;NONE;NONE;UNKNOWN;55.9991959;-3.784376;https://www.google.com/maps/search/?api=1&query=55.9991959,-3.784376&query_place_id=
SCOTLAND;FALLIN;CIVIC;Not listed;TRUE;NONE;NONE;UNKNOWN;56.1023378;-3.867607;https://www.google.com/maps/search/?api=1&query=56.1023378,-3.867607&query_place_id=
SCOTLAND;FINTRY;CIVIC;Not listed;TRUE;NONE;NONE;UNKNOWN;56.053149;-4.2234194;https://www.google.com/maps/search/?api=1&query=56.053149,-4.2234194&query_place_id=
SCOTLAND;GARGUNNOCK;CIVIC;1942;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/1942;First World War (1914-1918), Second World War (1939-1945);56.123966191508;-4.081383142843;https://www.google.com/maps/search/?api=1&query=56.123966191508,-4.081383142843&query_place_id=
SCOTLAND;GARTMORE;CIVIC;Not listed;FALSE;NONE;NONE;UNKNOWN;56.1449418;-4.3798657;https://www.google.com/maps/search/?api=1&query=56.1449418,-4.3798657&query_place_id=
SCOTLAND;GRANGEMOUTH;CIVIC;44723;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/44723;Second World War (1939-1945), First World War (1914-1918), Korean War (1950-1953);56.015959182219;-3.718876018874;https://www.google.com/maps/search/?api=1&query=56.015959182219,-3.718876018874&query_place_id=
SCOTLAND;KILLEARN;CIVIC;5782;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5782;Second World War (1939-1945), First World War (1914-1918);56.044140692204;-4.372356637910;https://www.google.com/maps/search/?api=1&query=56.044140692204,-4.372356637910&query_place_id=
SCOTLAND;KILLIN;CIVIC;5789;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5789;First World War (1914-1918), Second World War (1939-1945);56.460701563294;-4.323348785436;https://www.google.com/maps/search/?api=1&query=56.460701563294,-4.323348785436&query_place_id=
SCOTLAND;KILMADOCK WW1;CIVIC;5794;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5794;First World War (1914-1918), Second World War (1939-1945);56.189394388943;-4.056383385185;https://www.google.com/maps/search/?api=1&query=56.189394388943,-4.056383385185&query_place_id=
SCOTLAND;KINCARDINE-IN-MENTEITH WW1;CIVIC;5914;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5914;First World War (1914-1918);56.165043822757;-4.064277980889;https://www.google.com/maps/search/?api=1&query=56.165043822757,-4.064277980889&query_place_id=
SCOTLAND;KINCARDINE-IN-MENTEITH WW2;CIVIC;5914;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5914;First World War (1914-1918);56.165043822757;-4.064277980889;https://www.google.com/maps/search/?api=1&query=56.165043822757,-4.064277980889&query_place_id=
SCOTLAND;KIPPEN;CIVIC;5780;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5780;First World War (1914-1918), Second World War (1939-1945);56.126919951330;-4.170812221247;https://www.google.com/maps/search/?api=1&query=56.126919951330,-4.170812221247&query_place_id=
SCOTLAND;LARBERT;CIVIC;Not listed;TRUE;NONE;NONE;UNKNOWN;56.021417;-3.8306342;https://www.google.com/maps/search/?api=1&query=56.021417,-3.8306342&query_place_id=
SCOTLAND;LAURIESTON;CIVIC;Not listed;TRUE;NONE;NONE;UNKNOWN;55.8507965;-4.2564398;https://www.google.com/maps/search/?api=1&query=55.8507965,-4.2564398&query_place_id=
SCOTLAND;LOCHEARNHEAD;CIVIC;44787;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/44787;First World War (1914-1918), Second World War (1939-1945);56.385373840768;-4.287557036115;https://www.google.com/maps/search/?api=1&query=56.385373840768,-4.287557036115&query_place_id=
SCOTLAND;LONGCROFT;CIVIC;Not listed;FALSE;NONE;NONE;UNKNOWN;55.992734;-3.9269049;https://www.google.com/maps/search/?api=1&query=55.992734,-3.9269049&query_place_id=
SCOTLAND;MENSTRIE;CIVIC;5776;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5776;Second World War (1939-1945), Second World War - civilians, First World War (1914-1918);56.151640875044;-3.854289994553;https://www.google.com/maps/search/?api=1&query=56.151640875044,-3.854289994553&query_place_id=
SCOTLAND;MUCKHART;CIVIC;6026;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/6026;Second World War (1939-1945), First World War (1914-1918);56.187858279375;-3.613852204847;https://www.google.com/maps/search/?api=1&query=56.187858279375,-3.613852204847&query_place_id=
SCOTLAND;MUIRAVONSIDE;CIVIC;Not listed;TRUE;NONE;NONE;UNKNOWN;55.9621877;-3.658406733716623;https://www.google.com/maps/search/?api=1&query=55.9621877,-3.658406733716623&query_place_id=
SCOTLAND;NORRIESTON;CIVIC;5788;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5788;Second World War (1939-1945), First World War (1914-1918), Palestine (1918-1948);56.173717558678;-4.153186965319;https://www.google.com/maps/search/?api=1&query=56.173717558678,-4.153186965319&query_place_id=
SCOTLAND;PLEAN;CIVIC;Not listed;FALSE;NONE;NONE;UNKNOWN;56.0652645;-3.8754375;https://www.google.com/maps/search/?api=1&query=56.0652645,-3.8754375&query_place_id=
SCOTLAND;POLMONT;CIVIC;Not listed;TRUE;NONE;NONE;UNKNOWN;55.9905901;-3.7074588;https://www.google.com/maps/search/?api=1&query=55.9905901,-3.7074588&query_place_id=
SCOTLAND;PORT OF MENTEITH;CIVIC;Not listed;TRUE;NONE;NONE;UNKNOWN;56.184689;-4.2849752;https://www.google.com/maps/search/?api=1&query=56.184689,-4.2849752&query_place_id=
SCOTLAND;ROWARDENNAN;CIVIC;Not listed;FALSE;NONE;NONE;UNKNOWN;56.1513679;-4.6414007;https://www.google.com/maps/search/?api=1&query=56.1513679,-4.6414007&query_place_id=
SCOTLAND;SAUCHIE;CIVIC;6030;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/6030;First World War (1914-1918), Second World War (1939-1945);56.125936353824;-3.783774003834;https://www.google.com/maps/search/?api=1&query=56.125936353824,-3.783774003834&query_place_id=
SCOTLAND;SHIELDHILL;CIVIC;Not listed;TRUE;NONE;NONE;UNKNOWN;55.9722394;-3.7677864;https://www.google.com/maps/search/?api=1&query=55.9722394,-3.7677864&query_place_id=
SCOTLAND;SLAMANNAN;CIVIC;Not listed;TRUE;NONE;NONE;UNKNOWN;55.9372663;-3.8327878;https://www.google.com/maps/search/?api=1&query=55.9372663,-3.8327878&query_place_id=
SCOTLAND;ST. NINIANS;CIVIC;5803;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5803;First World War (1914-1918);56.102888275850;-3.936378220929;https://www.google.com/maps/search/?api=1&query=56.102888275850,-3.936378220929&query_place_id=
SCOTLAND;STIRLING;CIVIC;5768;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5768;First World War (1914-1918), Second World War (1939-1945);56.117774047971;-3.940118112137;https://www.google.com/maps/search/?api=1&query=56.117774047971,-3.940118112137&query_place_id=
SCOTLAND;STRATHBLANE;CIVIC;Not listed;FALSE;NONE;NONE;UNKNOWN;55.9855683;-4.3062661;https://www.google.com/maps/search/?api=1&query=55.9855683,-4.3062661&query_place_id=
SCOTLAND;STRATHYRE;CIVIC;Not listed;TRUE;NONE;NONE;UNKNOWN;56.3245025;-4.3292954;https://www.google.com/maps/search/?api=1&query=56.3245025,-4.3292954&query_place_id=
SCOTLAND;TILLICOULTRY WW1;CIVIC;5772;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5772;First World War (1914-1918);56.153909196233;-3.731407868454;https://www.google.com/maps/search/?api=1&query=56.153909196233,-3.731407868454&query_place_id=
SCOTLAND;TILLICOULTRY WW2;CIVIC;5773;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5773;Second World War (1939-1945);56.153971382249;-3.731458966951;https://www.google.com/maps/search/?api=1&query=56.153971382249,-3.731458966951&query_place_id=
SCOTLAND;TULLIBODY WW1;CIVIC;44720;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/44720;First World War (1914-1918), Second World War (1939-1945);56.131742251177;-3.841279472795;https://www.google.com/maps/search/?api=1&query=56.131742251177,-3.841279472795&query_place_id=
SCOTLAND;Bridge of Allan, St Saviour's Church;CHURCH;Not listed;FALSE;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Campsie, Campsie Parish Church, Stirling;CHURCH;5807;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5807;First World War (1914-1918);55.972517589102;-4.198982051203;https://www.google.com/maps/search/?api=1&query=55.972517589102,-4.198982051203&query_place_id=
SCOTLAND;Campsie, Campsie United Free Church, Stirling;CHURCH;5806;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5806;First World War (1914-1918);55.984362911933;-4.197458298486;https://www.google.com/maps/search/?api=1&query=55.984362911933,-4.197458298486&query_place_id=
SCOTLAND;Westpark Church, Denny, Falkirk;CHURCH;Not listed;FALSE;NONE;NONE;UNKNOWN;56.023369849999995;-3.911521971625457;https://www.google.com/maps/search/?api=1&query=56.023369849999995,-3.911521971625457&query_place_id=
SCOTLAND;St Alexander's R.C. Church, Denny;CHURCH;Not listed;FALSE;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Denny, Denny Parish Church;CHURCH;Not listed;FALSE;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Dennyloanhead, Dennyloanhead Parish Church;CHURCH;Not listed;FALSE;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Dollar;CHURCH;5770;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5770;First World War (1914-1918);56.163001423878;-3.670815203700;https://www.google.com/maps/search/?api=1&query=56.163001423878,-3.670815203700&query_place_id=
SCOTLAND;Doune, Doune United Free Church;CHURCH;5805;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5805;First World War (1914-1918);56.184649009365;-4.047750083020;https://www.google.com/maps/search/?api=1&query=56.184649009365,-4.047750083020&query_place_id=
SCOTLAND;Dunblane, Dunblane Cathedral;CHURCH;5778;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5778;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Dunblane, Dunblane United Free Church;CHURCH;5779;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5779;First World War (1914-1918);56.189097490527;-3.962991566138;https://www.google.com/maps/search/?api=1&query=56.189097490527,-3.962991566138&query_place_id=
SCOTLAND;Falkirk, Bainsford Church;CHURCH;Not listed;FALSE;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Killin, Killin Parish Church;CHURCH;5790;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5790;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Polmont,Polmont Parish Church;CHURCH;Not listed;FALSE;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Stirling, Allan Park;CHURCH;5798;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5798;First World War (1914-1918);56.117658688863;-3.939452785817;https://www.google.com/maps/search/?api=1&query=56.117658688863,-3.939452785817&query_place_id=
SCOTLAND;Stirling, East CHURCH;CHURCH;5804;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5804;First World War (1914-1918);56.120849818476;-3.944536075986;https://www.google.com/maps/search/?api=1&query=56.120849818476,-3.944536075986&query_place_id=
SCOTLAND;Stirling, Church of the Holy Rude;CHURCH;44725;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/44725;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Stirling, Erskine United Free Church;CHURCH;5801;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5801;First World War (1914-1918);56.114377680585;-3.947506835853;https://www.google.com/maps/search/?api=1&query=56.114377680585,-3.947506835853&query_place_id=
SCOTLAND;Stirling, Methodist CHURCH;CHURCH;Not listed;FALSE;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Stirling, South Stirling United Free CHURCH;CHURCH;5800;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5800;First World War (1914-1918);56.114377680585;-3.947506835853;https://www.google.com/maps/search/?api=1&query=56.114377680585,-3.947506835853&query_place_id=
SCOTLAND;Stirling, St Ninians CHURCH;CHURCH;5803;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5803;First World War (1914-1918);56.102888275850;-3.936378220929;https://www.google.com/maps/search/?api=1&query=56.102888275850,-3.936378220929&query_place_id=
SCOTLAND;Stirling, St Ninians UF CHURCH;CHURCH;5797;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5797;First World War (1914-1918), Second World War (1939-1945);56.097890250445;-3.937622472221;https://www.google.com/maps/search/?api=1&query=56.097890250445,-3.937622472221&query_place_id=
SCOTLAND;Stirling, Viewfield CHURCH;CHURCH;5802;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5802;First World War (1914-1918);56.121527382636;-3.939164890757;https://www.google.com/maps/search/?api=1&query=56.121527382636,-3.939164890757&query_place_id=
SCOTLAND;Stirling, West Kirk Parishioners, Church of the Holy Rude;CHURCH;44726;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/44726;First World War (1914-1918);56.120849818476;-3.944536075986;https://www.google.com/maps/search/?api=1&query=56.120849818476,-3.944536075986&query_place_id=
SCOTLAND;Stirling, West Stirling United Free CHURCH;CHURCH;5799;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5799;First World War (1914-1918);56.114377680585;-3.947506835853;https://www.google.com/maps/search/?api=1&query=56.114377680585,-3.947506835853&query_place_id=
SCOTLAND;Tullibody, Parish Church, Stirling;CHURCH;44721;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/44721;First World War (1914-1918);56.130793753007;-3.839802036657;https://www.google.com/maps/search/?api=1&query=56.130793753007,-3.839802036657&query_place_id=
SCOTLAND;Cambusbarron, School;SCHOOL;Not listed;FALSE;NONE;NONE;UNKNOWN;56.1083644;-3.970857295819936;https://www.google.com/maps/search/?api=1&query=56.1083644,-3.970857295819936&query_place_id=
SCOTLAND;Dollar, Dollar Academy;SCHOOL;5771;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5771;"Egypt and the Suez Crisis (1951-1956), Second World War (1939-1945), Northern Ireland Conflict; The Troubles (1969-1998), First World War (1914-1918)";56.165362003988;-3.673671658654;https://www.google.com/maps/search/?api=1&query=56.165362003988,-3.673671658654&query_place_id=
