COUNTRY;COUNTY;TYPE;UKNIWM_ID;CIVIL_PARISH ;UKNIWM_WEB;COMMEMORATION;LATITUDE;LONGITUDE;MAP;NOTES
SCOTLAND;TURRIFF;CIVIC;8638;TRUE;https://www.iwm.org.uk/memorials/item/memorial/8638;First World War (1914-1918), Second World War (1939-1945);5,753,628,368;-2,448,586,035;https://www.google.com/maps/search/?api=1&query=57.536283681455,-2.448586034873&query_place_id=;NONE
SCOTLAND;TYRIE;CIVIC;8639;TRUE;https://www.iwm.org.uk/memorials/item/memorial/8639;First World War (1914-1918), Second World War (1939-1945);5,765,803,527;-2,118,833,444;https://www.google.com/maps/search/?api=1&query=57.658035268539,-2.118833444069&query_place_id=;NONE
SCOTLAND;UDNY;CIVIC;8640;TRUE;https://www.iwm.org.uk/memorials/item/memorial/8640;First World War (1914-1918), Second World War (1939-1945);5,732,770,628;-2,201,098,184;https://www.google.com/maps/search/?api=1&query=57.327706275985,-2.201098184297&query_place_id=;NONE
SCOTLAND;YTHANWELLS;CIVIC;NOT LISTED;FALSE;NONE;UNKNOWN;NONE;NONE;NONE;NONE
SCOTLAND;Aberchirder;CHURCH;8641;FALSE;https://www.iwm.org.uk/memorials/item/memorial/8641;First World War (1914-1918), Second World War (1939-1945);5,756,190,446;-2,621,807,686;https://www.google.com/maps/search/?api=1&query=57.561904456869,-2.621807685500&query_place_id=;NONE
SCOTLAND;Barthol Chapel;CHURCH;8556;FALSE;https://www.iwm.org.uk/memorials/item/memorial/8556;First World War (1914-1918);5,739,546,672;-2,309,932,385;https://www.google.com/maps/search/?api=1&query=57.395466719223,-2.309932384885&query_place_id=;NONE
SCOTLAND;Blairdaff;CHURCH;8561;FALSE;https://www.iwm.org.uk/memorials/item/memorial/8561;First World War (1914-1918);5,724,489,993;-2,491,932,729;https://www.google.com/maps/search/?api=1&query=57.244899934220,-2.491932728541&query_place_id=;NONE
SCOTLAND;Maryculter;CHURCH;8689;FALSE;https://www.iwm.org.uk/memorials/item/memorial/8689;First World War (1914-1918), Second World War (1939-1945);5,708,410,601;-2,237,442,021;https://www.google.com/maps/search/?api=1&query=57.084106012964,-2.237442020724&query_place_id=;NONE
SCOTLAND;Peterhead;CHURCH;44790;FALSE;https://www.iwm.org.uk/memorials/item/memorial/44790;First World War (1914-1918);5,750,846,569;-1,783,508,818;https://www.google.com/maps/search/?api=1&query=57.508465686529,-1.783508818202&query_place_id=;NONE
SCOTLAND;Peterhead;CHURCH;44789;FALSE;https://www.iwm.org.uk/memorials/item/memorial/44789;First World War (1914-1918);5,750,846,569;-1,783,508,818;https://www.google.com/maps/search/?api=1&query=57.508465686529,-1.783508818202&query_place_id=;NONE
SCOTLAND;Peterhead;CHURCH;44791;FALSE;https://www.iwm.org.uk/memorials/item/memorial/44791;Second World War (1939-1945);5,750,846,569;-1,783,508,818;https://www.google.com/maps/search/?api=1&query=57.508465686529,-1.783508818202&query_place_id=;NONE
SCOTLAND;Turriff;CHURCH;8595;FALSE;https://www.iwm.org.uk/memorials/item/memorial/8595;First World War (1914-1918);5,761,033,676;-2,477,665,352;https://www.google.com/maps/search/?api=1&query=57.610336764973,-2.477665351875&query_place_id=;NONE
SCOTLAND;STONEHAVEN;SCHOOL;8694;FALSE;https://www.iwm.org.uk/memorials/item/memorial/8694;First World War (1914-1918), Second World War (1939-1945);5,696,535,899;-2,216,473,565;https://www.google.com/maps/search/?api=1&query=56.965358987017,-2.216473564705&query_place_id=;NONE
SCOTLAND;BANCHORY;REGIMENT & UNIT;5856;FALSE;https://www.iwm.org.uk/memorials/item/memorial/5856;First World War (1914-1918);5,705,177,666;-2,510,804,628;https://www.google.com/maps/search/?api=1&query=57.051776660829,-2.510804628132&query_place_id=;NONE
SCOTLAND;PETERHEAD;REGIMENT & UNIT;8622;FALSE;https://www.iwm.org.uk/memorials/item/memorial/8622;First World War (1914-1918);575,050,494;-1,787,066,826;https://www.google.com/maps/search/?api=1&query=57.505049398387,-1.787066825624&query_place_id=;NONE
SCOTLAND;RAF BANFF;REGIMENT & UNIT;NOT LISTED;FALSE;NONE;UNKNOWN;NONE;NONE;NONE;NONE
SCOTLAND;CULTS;INDIVIDUAL;5829;FALSE;https://www.iwm.org.uk/memorials/item/memorial/5829;First World War (1914-1918);5,712,508,128;-2,147,474,905;https://www.google.com/maps/search/?api=1&query=57.125081283826,-2.147474905084&query_place_id=;NONE
SCOTLAND;MUCHALLS;INDIVIDUAL;8690;FALSE;https://www.iwm.org.uk/memorials/item/memorial/8690;First World War (1914-1918), Peace and Anti-War memorials;5,701,828,905;-2,162,614,477;https://www.google.com/maps/search/?api=1&query=57.018289052774,-2.162614477345&query_place_id=;NONE
SCOTLAND;RHYNIE;INDIVIDUAL;8731;FALSE;https://www.iwm.org.uk/memorials/item/memorial/8731;First World War (1914-1918);5,733,424,243;-2,833,429,575;https://www.google.com/maps/search/?api=1&query=57.334242433313,-2.833429574655&query_place_id=;NONE
SCOTLAND;STRACHAN;INDIVIDUAL;44638;FALSE;https://www.iwm.org.uk/memorials/item/memorial/44638;"Boer War; Second (1899-1902)";5,701,794,465;-2,545,090,469;https://www.google.com/maps/search/?api=1&query=57.017944650285,-2.545090468992&query_place_id=;NONE
SCOTLAND;ALFORD;OTHER;8551;FALSE;https://www.iwm.org.uk/memorials/item/memorial/8551;Scottish Covenanters (1638-1687);5,723,657,121;-2,711,661,051;https://www.google.com/maps/search/?api=1&query=57.236571207635,-2.711661051271&query_place_id=;NONE
SCOTLAND;BALMORAL ESTATE EMPLOYEES;OTHER;5852;FALSE;https://www.iwm.org.uk/memorials/item/memorial/5852;First World War (1914-1918), Second World War (1939-1945);5,703,917,492;-3,218,442,795;https://www.google.com/maps/search/?api=1&query=57.039174915718,-3.218442795424&query_place_id=;NONE
SCOTLAND;GLEN AVON;OTHER;NOT LISTED;FALSE;NONE;UNKNOWN;NONE;NONE;NONE;NONE
SCOTLAND;KININMOUTH;OTHER;8594;FALSE;https://www.iwm.org.uk/memorials/item/memorial/8594;Second World War - civilians, Second World War (1939-1945), First World War (1914-1918);5,757,191,364;-1,984,371,052;https://www.google.com/maps/search/?api=1&query=57.571913640954,-1.984371051744&query_place_id=;NONE
SCOTLAND;MUCHALLS;OTHER;8690;FALSE;https://www.iwm.org.uk/memorials/item/memorial/8690;First World War (1914-1918), Peace and Anti-War memorials;5,701,828,905;-2,162,614,477;https://www.google.com/maps/search/?api=1&query=57.018289052774,-2.162614477345&query_place_id=;NONE
SCOTLAND;NEWMACHAR;OTHER;8615;FALSE;https://www.iwm.org.uk/memorials/item/memorial/8615;UNKNOWN;NONE;NONE;NONE;NONE
